"","us-bibliographic-data-grant.publication-reference1","us-bibliographic-data-grant.publication-reference2","us-bibliographic-data-grant.publication-reference3","us-bibliographic-data-grant.publication-reference4","us-bibliographic-data-grant.application-reference1","us-bibliographic-data-grant.application-reference2","us-bibliographic-data-grant.application-reference3","us-bibliographic-data-grant.application-reference..attrs.appl-type","us-bibliographic-data-grant.us-application-series-code","us-bibliographic-data-grant.us-term-of-grant.length-of-grant","us-bibliographic-data-grant.classification-locarno.edition","us-bibliographic-data-grant.classification-locarno.main-classification","us-bibliographic-data-grant.classification-national.country","us-bibliographic-data-grant.classification-national.main-classification","us-bibliographic-data-grant.invention-title.text","us-bibliographic-data-grant.invention-title..attrs.id","us-bibliographic-data-grant.number-of-claims","us-bibliographic-data-grant.us-exemplary-claim","us-bibliographic-data-grant.figures.number-of-drawing-sheets","us-bibliographic-data-grant.figures.number-of-figures","us-bibliographic-data-grant.us-parties.us-applicants.address.city","us-bibliographic-data-grant.us-parties.us-applicants.address.country","us-bibliographic-data-grant.us-parties.us-applicants.country","us-bibliographic-data-grant.us-parties.us-applicants.sequence","us-bibliographic-data-grant.us-parties.us-applicants.app-type","us-bibliographic-data-grant.us-parties.us-applicants.designation","us-bibliographic-data-grant.us-parties.inventors1","us-bibliographic-data-grant.us-parties.inventors2","us-bibliographic-data-grant.us-parties.inventors.city","us-bibliographic-data-grant.us-parties.inventors.country","us-bibliographic-data-grant.us-parties.inventors.sequence","us-bibliographic-data-grant.us-parties.inventors.designation","drawings..attrs.id","description..attrs.id","us-claim-statement","claims1","claims.id","claims.num","claims..attrs.id",".attrs.lang",".attrs.dtd-version",".attrs.file",".attrs.status",".attrs.id",".attrs.country",".attrs.date-produced",".attrs.date-publ"
"xmldf","US","D0786525","S1","20170516","US","29490466","20140509","design","29","14","10","0101","US","D 1102","Four petal dessert","d2e53","1","1","5","5","Gary","US","US","001","applicant","us-only","Jones","Charles","Gary","US","001","us-only","DRAWINGS","description","CLAIM","I claim the ornamental design for a four petal dessert, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786525-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786526","S1","20170516","US","29569637","20160629","design","29","15","10","0101","US","D 1128","Snack food product","d2e53","1","1","6","8","Plano","US","US","001","applicant","us-only","Narayanan","Bharadwaj","Frisco","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a snack food product, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786526-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786527","S1","20170516","US","29497843","20140729","design","29","14","10","0101","US","D 1199","Tea/coffee stick","d2e71","1","1","1","5","Westmead","AU","AU","001","applicant","us-only","Segaram","Steve","Westmead","AU","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a tea/coffee stick, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786527-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786528","S1","20170516","US","29537034","20150821","design","29","15","10","0205","US","D 2503","Scarf","d2e53","1","1","3","12","Highland","US","US","001","applicant","us-only","Puett, III","Ralph Thomas","Highland","US","001","us-only","DRAWINGS","description","CLAIM","I claim the ornamental design for a scarf, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786528-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786529","S1","20170516","US","29537039","20150821","design","29","15","10","0205","US","D 2503","Scarf","d2e53","1","1","4","13","Redlands","US","US","001","applicant","us-only","Puett, III","Ralph Thomas","Highland","US","001","us-only","DRAWINGS","description","CLAIM","I claim the ornamental design for a scarf, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786529-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786530","S1","20170516","US","29554872","20160216","design","29","15","10","0201","US","D 2706","Bra","d2e53","1","1","5","5","Beaverton","US","US","001","applicant","us-only","Lee","Jamie","Portland","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a bra, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786530-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786531","S1","20170516","US","29563727","20160506","design","29","15","10","0201","US","D 2708","Bra","d2e53","1","1","7","7","Vancouver","CA","CA","001","applicant","us-only","Holmes","Brenda Marie","Vancouver","CA","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a bra, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786531-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786532","S1","20170516","US","29537521","20150826","design","29","15","10","0201","US","D 2719","Bunting bag","d2e53","1","1","7","8","New York","US","US","001","applicant","us-only","Carter","Chelsea","Brooklyn","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a bunting bag, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786532-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786533","S1","20170516","US","29541710","20151007","design","29","15","10","0201","US","D 2719","Sleeping bag","d2e53","1","1","16","16","Madison","US","US","001","applicant","us-only","Rodriguez Bosch","Jose R.","Gordonsville","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a sleeping bag, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786533-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786534","S1","20170516","US","29558673","20160321","design","29","15","10","0202","US","D 2731","Lower body garment","d2e53","1","1","12","14","Baltimore","US","US","001","applicant","us-only","Alligood","Elyse","New York","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a lower body garment, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786534-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
